season	BruntV	mixing_depth
spring	0.008936282	0.277106614
spring	0.011018352	0.115986164
spring	0.01403868	0.040141468
spring	0.010421916	0.175310581
spring	0.012913708	0.043756244
spring	0.00856333	0.17609127
spring	0.008457336	0.320699708
spring	0.008176622	0.219356261
spring	0.012317866	0.051155783
spring	0.013571966	0.043817362
spring	0.01365086	0.043422115
spring	0.01086804	0.066155393
spring	0.012591743	0.049364447
spring	0.01363697	0.043491201
spring	0.015476871	0.035895118
spring	0.026465226	0.018542569
spring	0.021754438	0.02287138
spring	0.007174217	0.27982327
spring	0.011355121	0.175344809
spring	0.008891638	0.198809524
spring	0.010224021	0.329949239
spring	0.008209005	0.227272727
spring	0.014329932	0.23538961
spring	0.011119022	0.256278539
spring	0.004886466	0.578125
spring	0.010454957	0.202702703
spring	0.007835778	 nan
spring	0.010198039	0.27945269
spring	0.006755195	0.324439369
spring	0.009772932	0.169361047
spring	0.00787919	0.184087644
spring	0.013272651	0.093771234
spring	0.011142857	0.123807339
spring	0.013431611	0.088347776
summer	0.010454957	0.124248729
summer	0.014199741	0.042310695
summer	0.008305395	0.149267399
summer	0.010301575	0.269758278
summer	0.012907837	0.0892317
summer	0.011383124	0.136988763
summer	0.018295087	0.037486651
summer	0.014162324	0.11964887
summer	0.008369039	0.238997114
summer	0.010119692	0.238712065
summer	0.011012847	0.062003968
summer	0.010948302	0.130009064
summer	0.010875361	0.116900616
summer	0.011847345	0.05452831
summer	0.01296526	0.092365416
summer	0.0177235	0.06881435
summer	0.01479989	0.096351283
summer	0.012318892	0.074224688
summer	 nan	 nan
summer	0.015279705	0.072375541
summer	0.017684537	0.072854557
summer	0.012434645	0.094780534
summer	 nan	 nan
summer	 nan	 nan
summer	0.022561222	0.021933837
summer	0.027262358	0.018022875
summer	0.019383601	0.026336183
summer	0.014741043	0.040523256
summer	0.013227838	0.047906137
summer	0.029655128	0.016706686
summer	0.023761244	0.020711995
summer	0.009987748	0.139944276
summer	0.011680888	0.055820106
summer	0.015292102	0.036536235
summer	0.017878219	0.029286655
summer	0.012864699	0.050076336
summer	0.015859073	0.075421941
summer	0.010301575	0.125641026
summer	0.015589112	0.086004899
summer	0.01128481	0.098529412
summer	0.011308296	0.090346535
summer	0.014713592	0.113432271
summer	0.017267123	0.03071025
summer	0.009772932	0.150406504
summer	0.010618621	0.144993895
summer	0.01453216	0.063332368
summer	0.011261276	0.088561385
summer	0.008494896	0.266708246
summer	0.012574675	0.056772159
summer	0.011142857	0.086441336
summer	0.011654902	0.068359375
summer	0.010722219	0.059872647
summer	0.015589112	0.066343859
summer	0.013627703	0.039878398
summer	0.014641289	0.041092287
summer	0.014749611	0.059644265
summer_typhoon	0.009200287	0.084228968
summer_typhoon	0.013299276	0.045238095
summer_typhoon	0.006094494	0.391156463
summer_typhoon	0.009299989	0.148699971
summer_typhoon	0.014753893	0.037646614
summer_typhoon	0.014966435	0.037724599
autumn	0.004607004	 nan
autumn	0.00850738	0.163794934
autumn	 nan	 nan
autumn	0.006656284	0.316509837
autumn	 nan	 nan
autumn	 nan	 nan
autumn	0.003893629	 nan
autumn	0.005150788	0.497512438
autumn	0.00412063	 nan
autumn	0.001628822	 nan
autumn	0.01170034	0.095953867
autumn	0.005731267	0.228548516
autumn	0.007674501	0.325790907
autumn	0.003175159	 nan
autumn	0.011572226	0.056424931
autumn	0.005124969	0.369209335
autumn	0.00435321	 nan
autumn	0.013156012	0.043434758
autumn	0.00356857	 nan
autumn	0.006094494	0.245614035
autumn	0.002753212	 nan
autumn	0.008921426	0.104983203
autumn	0.003642157	 nan
autumn	0.005595187	 nan
autumn_typhoon	0.015395025	0.031987431
autumn_typhoon	0.009336595	0.162352941
autumn_typhoon	0.008432203	0.177889622
autumn_typhoon	0.010352955	0.106082037
winter	0.00530306	0.353892821
winter	0.003371982	 nan
winter	0.009127219	0.296984115
winter	0.00649898	 nan
winter	0.023415792	0.020087977
winter	0.009854037	0.110469449
winter	0.000728431	 nan
winter	0.005352855	 nan
winter	0.006515288	0.275761974
winter	0.002185294	 nan
winter	0.00814411	0.133547009
winter	0.003416646	 nan
winter	0.005595187	 nan
winter	0.006715805	0.451086957
winter	0.005271999	0.321681864
winter	0.007947838	0.377207063
winter	0.007708993	0.265003262
winter	0.005150788	 nan
winter	0.005020367	0.389777104
winter	0.009645873	0.255787127
winter	0.014306108	0.036091411
winter	0.008771475	0.295019157
winter	0.003554381	 nan
