season	BruntV	river_DIC
spring	0.008936282	nan
spring	0.011018352	nan
spring	0.01403868	3.549351852
spring	0.010421916	2.5625
spring	0.012913708	2.55075
spring	0.00856333	3.164375
spring	0.008457336	3.002316667
spring	0.008176622	nan
spring	0.012317866	nan
spring	0.013571966	nan
spring	0.01365086	nan
spring	0.01086804	6.306483333
spring	0.012591743	nan
spring	0.01363697	nan
spring	0.015476871	3.216333333
spring	0.026465226	2.4809
spring	0.021754438	2.614866667
spring	0.007174217	3.1504
spring	0.011355121	3.4104
spring	0.008891638	3.7987
spring	0.010224021	2.491766667
spring	0.008209005	3.6326
spring	0.014329932	2.84975
spring	0.011119022	2.160133333
spring	0.004886466	3.118
spring	0.010454957	3.338883333
spring	0.007835778	2.19
spring	0.010198039	nan
spring	0.006755195	nan
spring	0.009772932	nan
spring	0.00787919	nan
spring	0.013272651	nan
spring	0.011142857	nan
spring	0.013431611	nan
summer	0.010454957	nan
summer	0.014199741	nan
summer	0.008305395	nan
summer	0.010301575	nan
summer	0.012907837	nan
summer	0.011383124	nan
summer	0.018295087	nan
summer	0.014162324	nan
summer	0.008369039	nan
summer	0.010119692	nan
summer	0.011012847	nan
summer	0.010948302	nan
summer	0.010875361	nan
summer	0.011847345	nan
summer	0.01296526	2.25875
summer	0.0177235	2.55825
summer	0.01479989	2.68375
summer	0.012318892	1.931
summer	 nan	1.9145
summer	0.015279705	2.15775
summer	0.017684537	2.307
summer	0.012434645	2.46075
summer	 nan	nan
summer	 nan	2.268166667
summer	0.022561222	3.215216667
summer	0.027262358	nan
summer	0.019383601	nan
summer	0.014741043	1.980716667
summer	0.013227838	2.138883333
summer	0.029655128	2.814216667
summer	0.023761244	3.180716667
summer	0.009987748	5.482933333
summer	0.011680888	2.1265
summer	0.015292102	1.459666667
summer	0.017878219	2.467333333
summer	0.012864699	2.858183333
summer	0.015859073	1.876433333
summer	0.010301575	2.16014
summer	0.015589112	2.432566667
summer	0.01128481	2.324316667
summer	0.011308296	2.107433333
summer	0.014713592	8.4133
summer	0.017267123	1.27
summer	0.009772932	2.94
summer	0.010618621	3.62
summer	0.01453216	nan
summer	0.011261276	nan
summer	0.008494896	nan
summer	0.012574675	nan
summer	0.011142857	nan
summer	0.011654902	nan
summer	0.010722219	nan
summer	0.015589112	nan
summer	0.013627703	nan
summer	0.014641289	nan
summer	0.014749611	nan
summer_typhoon	0.009200287	nan
summer_typhoon	0.013299276	nan
summer_typhoon	0.006094494	nan
summer_typhoon	0.009299989	nan
summer_typhoon	0.014753893	1.403633333
summer_typhoon	0.014966435	1.50165
autumn	0.004607004	nan
autumn	0.00850738	nan
autumn	 nan	nan
autumn	0.006656284	3.9265
autumn	 nan	2.126133333
autumn	 nan	2.043633333
autumn	0.003893629	2.675766667
autumn	0.005150788	2.1682
autumn	0.00412063	1.770733333
autumn	0.001628822	1.362683333
autumn	0.01170034	2.7591
autumn	0.005731267	3.076783333
autumn	0.007674501	3.10795
autumn	0.003175159	4.12
autumn	0.011572226	nan
autumn	0.005124969	nan
autumn	0.00435321	nan
autumn	0.013156012	nan
autumn	0.00356857	nan
autumn	0.006094494	nan
autumn	0.002753212	nan
autumn	0.008921426	nan
autumn	0.003642157	nan
autumn	0.005595187	nan
autumn_typhoon	0.015395025	1.775666667
autumn_typhoon	0.009336595	0.8587
autumn_typhoon	0.008432203	1.1998
autumn_typhoon	0.010352955	2.99
winter	0.00530306	nan
winter	0.003371982	nan
winter	0.009127219	nan
winter	0.00649898	nan
winter	0.023415792	3.5755
winter	0.009854037	3.589166667
winter	0.000728431	2.701166667
winter	0.005352855	2.836266667
winter	0.006515288	2.75865
winter	0.002185294	2.4802
winter	0.00814411	1.878866667
winter	0.003416646	2.4054
winter	0.005595187	2.132483333
winter	0.006715805	2.622516667
winter	0.005271999	2.51
winter	0.007947838	2.55
winter	0.007708993	nan
winter	0.005150788	nan
winter	0.005020367	nan
winter	0.009645873	nan
winter	0.014306108	nan
winter	0.008771475	nan
winter	0.003554381	nan
