season	BruntV	water_surface_DIC
spring	0.008936282	3.1375
spring	0.011018352	2.972
spring	0.01403868	3.25225
spring	0.010421916	2.6565
spring	0.012913708	2.49625
spring	0.00856333	3.3423
spring	0.008457336	2.975316667
spring	0.008176622	3.1832
spring	0.012317866	3.058375
spring	0.013571966	2.584325
spring	0.01365086	6.381075
spring	0.01086804	6.410833333
spring	0.012591743	6.4345
spring	0.01363697	3.210375
spring	0.015476871	3.2853
spring	0.026465226	2.457066667
spring	0.021754438	2.676466667
spring	0.007174217	3.380366667
spring	0.011355121	3.8225
spring	0.008891638	3.760783333
spring	0.010224021	2.428176667
spring	0.008209005	3.1162
spring	0.014329932	2.792201667
spring	0.011119022	2.246466667
spring	0.004886466	3.209933333
spring	0.010454957	3.395883333
spring	0.007835778	1.91
spring	0.010198039	2.489
spring	0.006755195	2.441
spring	0.009772932	2.42
spring	0.00787919	1.56
spring	0.013272651	2.47
spring	0.011142857	2.58
spring	0.013431611	1.38
summer	0.010454957	2.9845
summer	0.014199741	3.206
summer	0.008305395	3.7195
summer	0.010301575	3.38175
summer	0.012907837	3.2305
summer	0.011383124	3.121
summer	0.018295087	2.659
summer	0.014162324	3.29225
summer	0.008369039	3.97175
summer	0.010119692	3.797
summer	0.011012847	3.539
summer	0.010948302	4.029
summer	0.010875361	4.79225
summer	0.011847345	4.5045
summer	0.01296526	2.022
summer	0.0177235	2.7555
summer	0.01479989	2.69525
summer	0.012318892	2.239
summer	 nan	2.226
summer	0.015279705	2.2205
summer	0.017684537	2.5045
summer	0.012434645	2.08025
summer	 nan	2.5635
summer	 nan	2.338833333
summer	0.022561222	2.0955
summer	0.027262358	2.21235
summer	0.019383601	2.447916667
summer	0.014741043	2.553616667
summer	0.013227838	2.20845
summer	0.029655128	2.823933333
summer	0.023761244	3.300766667
summer	0.009987748	5.931033333
summer	0.011680888	2.1537
summer	0.015292102	1.3045
summer	0.017878219	2.3266
summer	0.012864699	4.901
summer	0.015859073	2.0488
summer	0.010301575	2.30815
summer	0.015589112	2.464333333
summer	0.01128481	2.41295
summer	0.011308296	2.252233333
summer	0.014713592	2.3425
summer	0.017267123	3.6
summer	0.009772932	3.34
summer	0.010618621	3.65
summer	0.01453216	1.471
summer	0.011261276	2.5
summer	0.008494896	2.92
summer	0.012574675	1.08
summer	0.011142857	6.72
summer	0.011654902	1.09
summer	0.010722219	1.35
summer	0.015589112	1.9
summer	0.013627703	1.23
summer	0.014641289	1.58
summer	0.014749611	1.89
summer_typhoon	0.009200287	2.34325
summer_typhoon	0.013299276	3.2495
summer_typhoon	0.006094494	4.2075
summer_typhoon	0.009299989	1.171
summer_typhoon	0.014753893	1.336166667
summer_typhoon	0.014966435	1.573033333
autumn	0.004607004	2.53425
autumn	0.00850738	2.244
autumn	 nan	3.3335
autumn	0.006656284	4.467875
autumn	 nan	1.9206
autumn	 nan	2.216683333
autumn	0.003893629	2.7451
autumn	0.005150788	2.7451
autumn	0.00412063	1.8076
autumn	0.001628822	1.53945
autumn	0.01170034	2.9033
autumn	0.005731267	1.955666667
autumn	0.007674501	3.2688
autumn	0.003175159	4.42
autumn	0.011572226	1.615
autumn	0.005124969	1.202
autumn	0.00435321	2.314
autumn	0.013156012	7.06
autumn	0.00356857	0.28
autumn	0.006094494	1.52
autumn	0.002753212	1.94
autumn	0.008921426	1.73
autumn	0.003642157	1.79
autumn	0.005595187	1.4
autumn_typhoon	0.015395025	2.2495
autumn_typhoon	0.009336595	1.122033333
autumn_typhoon	0.008432203	1.75215
autumn_typhoon	0.010352955	2.58
winter	0.00530306	2.87775
winter	0.003371982	3.30325
winter	0.009127219	3.72225
winter	0.00649898	4.091
winter	0.023415792	4.127
winter	0.009854037	2.438216667
winter	0.000728431	2.9383
winter	0.005352855	2.871633333
winter	0.006515288	1.463183333
winter	0.002185294	2.65455
winter	0.00814411	2.596683333
winter	0.003416646	2.302483333
winter	0.005595187	2.098383333
winter	0.006715805	2.574166667
winter	0.005271999	2.72
winter	0.007947838	2.75
winter	0.007708993	1.501
winter	0.005150788	1.965
winter	0.005020367	2.65
winter	0.009645873	1.42
winter	0.014306108	2.08
winter	0.008771475	2.58
winter	0.003554381	2
