season	BruntV	hypolimnion_DIC
spring	0.008936282	5.10025
spring	0.011018352	7.3955
spring	0.01403868	4.75775
spring	0.010421916	5.53325
spring	0.012913708	7.51725
spring	0.00856333	3.4519
spring	0.008457336	3.3626
spring	0.008176622	3.184675
spring	0.012317866	3.28235
spring	0.013571966	3.024325
spring	0.01365086	8.02115
spring	0.01086804	7.884275
spring	0.012591743	7.915975
spring	0.01363697	4.028675
spring	0.015476871	4.07675
spring	0.026465226	3.6709
spring	0.021754438	4.408725
spring	0.007174217	3.380366667
spring	0.011355121	5.2686
spring	0.008891638	6.026875
spring	0.010224021	4.603266667
spring	0.008209005	5.079083333
spring	0.014329932	4.661575
spring	0.011119022	2.246466667
spring	0.004886466	3.863033333
spring	0.010454957	4.26815
spring	0.007835778	1.91
spring	0.010198039	2.605
spring	0.006755195	3.347
spring	0.009772932	2.42
spring	0.00787919	1.56
spring	0.013272651	2.88
spring	0.011142857	3.25
spring	0.013431611	5.06
summer	0.010454957	10.70625
summer	0.014199741	11.38925
summer	0.008305395	12.95125
summer	0.010301575	14.7195
summer	0.012907837	12.54775
summer	0.011383124	11.405
summer	0.018295087	8.18075
summer	0.014162324	10.492
summer	0.008369039	11.376
summer	0.010119692	13.1125
summer	0.011012847	10.27525
summer	0.010948302	5.867
summer	0.010875361	7.1745
summer	0.011847345	7.5045
summer	0.01296526	9.4925
summer	0.0177235	10.907
summer	0.01479989	10.56825
summer	0.012318892	4.7505
summer	 nan	7.804
summer	0.015279705	9.37725
summer	0.017684537	9.7765
summer	0.012434645	9.403
summer	 nan	7.39775
summer	 nan	5.844333333
summer	0.022561222	6.383775
summer	0.027262358	6.38725
summer	0.019383601	4.472875
summer	0.014741043	2.553616667
summer	0.013227838	7.78095
summer	0.029655128	8.412725
summer	0.023761244	8.3661
summer	0.009987748	7.22345
summer	0.011680888	2.953
summer	0.015292102	2.0253
summer	0.017878219	3.67025
summer	0.012864699	6.510675
summer	0.015859073	4.579
summer	0.010301575	3.89952
summer	0.015589112	8.069866667
summer	0.01128481	4.786366667
summer	0.011308296	3.200166667
summer	0.014713592	6.0199
summer	0.017267123	6.25
summer	0.009772932	11.42
summer	0.010618621	3.69
summer	0.01453216	5.966
summer	0.011261276	5.923
summer	0.008494896	3.4
summer	0.012574675	12.5
summer	0.011142857	9.83
summer	0.011654902	3.9
summer	0.010722219	1.63
summer	0.015589112	7.72
summer	0.013627703	6.11
summer	0.014641289	6.42
summer	0.014749611	4.25
summer_typhoon	0.009200287	3.668
summer_typhoon	0.013299276	3.2495
summer_typhoon	0.006094494	4.74775
summer_typhoon	0.009299989	2.19625
summer_typhoon	0.014753893	2.05855
summer_typhoon	0.014966435	1.93805
autumn	0.004607004	3.4865
autumn	0.00850738	4.44325
autumn	 nan	4.7245
autumn	0.006656284	6.0585
autumn	 nan	2.7647
autumn	 nan	2.8012
autumn	0.003893629	2.98585
autumn	0.005150788	2.98585
autumn	0.00412063	3.256225
autumn	0.001628822	1.80035
autumn	0.01170034	5.9366
autumn	0.005731267	3.22685
autumn	0.007674501	3.59885
autumn	0.003175159	4.42
autumn	0.011572226	6.028
autumn	0.005124969	3.831
autumn	0.00435321	2.856
autumn	0.013156012	10.32
autumn	0.00356857	1.47
autumn	0.006094494	7.64
autumn	0.002753212	1.94
autumn	0.008921426	10.9
autumn	0.003642157	3.98
autumn	0.005595187	1.5
autumn_typhoon	0.015395025	2.2495
autumn_typhoon	0.009336595	1.4216
autumn_typhoon	0.008432203	2.661625
autumn_typhoon	0.010352955	3.82
winter	0.00530306	3.52975
winter	0.003371982	3.41525
winter	0.009127219	3.88575
winter	0.00649898	4.104
winter	0.023415792	4.25775
winter	0.009854037	2.55415
winter	0.000728431	3.0854
winter	0.005352855	2.871633333
winter	0.006515288	3.3034
winter	0.002185294	2.65455
winter	0.00814411	4.220175
winter	0.003416646	2.785516667
winter	0.005595187	2.2648
winter	0.006715805	3.152483333
winter	0.005271999	2.76
winter	0.007947838	2.75
winter	0.007708993	1.513
winter	0.005150788	2.744
winter	0.005020367	2.91
winter	0.009645873	1.42
winter	0.014306108	2.08
winter	0.008771475	2.58
winter	0.003554381	3.24
