season	BruntV	water_surface_temperature
spring	0.008936282	16
spring	0.011018352	18.869
spring	0.01403868	15.26
spring	0.010421916	17.725
spring	0.012913708	16.878
spring	0.00856333	11.335
spring	0.008457336	9.188
spring	0.008176622	9.345
spring	0.012317866	10.515
spring	0.013571966	10.737
spring	0.01365086	12.304
spring	0.01086804	11.89
spring	0.012591743	12.373
spring	0.01363697	12.721
spring	0.015476871	13.202
spring	0.026465226	16.488
spring	0.021754438	18.324
spring	0.007174217	12.78
spring	0.011355121	18.33
spring	0.008891638	18.62
spring	0.010224021	13.6
spring	0.008209005	14.38
spring	0.014329932	21.84
spring	0.011119022	15.13
spring	0.004886466	11.72
spring	0.010454957	19
spring	0.007835778	7.72
spring	0.010198039	15.34
spring	0.006755195	13.54
spring	0.009772932	13.56
spring	0.00787919	11.59
spring	0.013272651	20.71
spring	0.011142857	16.31
spring	0.013431611	18.68
summer	0.010454957	18.42
summer	0.014199741	23.63
summer	0.008305395	19.68
summer	0.010301575	20.85
summer	0.012907837	20.11
summer	0.011383124	19.779
summer	0.018295087	23.795
summer	0.014162324	19.7
summer	0.008369039	19.05
summer	0.010119692	21.91
summer	0.011012847	21.68
summer	0.010948302	20.549
summer	0.010875361	22.672
summer	0.011847345	19.277
summer	0.01296526	16.004
summer	0.0177235	23.633
summer	0.01479989	21.1
summer	0.012318892	17.62
summer	 nan	0
summer	0.015279705	18.938
summer	0.017684537	21.431
summer	0.012434645	20.143
summer	 nan	0
summer	 nan	0
summer	0.022561222	17.504
summer	0.027262358	20.818
summer	0.019383601	18.631
summer	0.014741043	22.31
summer	0.013227838	22.16
summer	0.029655128	23.198
summer	0.023761244	21.726
summer	0.009987748	16.6
summer	0.011680888	15.828
summer	0.015292102	16.683
summer	0.017878219	19.2
summer	0.012864699	19.1
summer	0.015859073	19.73
summer	0.010301575	20.54
summer	0.015589112	23.41
summer	0.01128481	21.31
summer	0.011308296	20.02
summer	0.014713592	21.57
summer	0.017267123	22.04
summer	0.009772932	19.68
summer	0.010618621	21.27
summer	0.01453216	23.87
summer	0.011261276	22.05
summer	0.008494896	18.26
summer	0.012574675	21.9
summer	0.011142857	18.29
summer	0.011654902	17.74
summer	0.010722219	17.38
summer	0.015589112	22.63
summer	0.013627703	19.59
summer	0.014641289	22.4
summer	0.014749611	22.05
summer_typhoon	0.009200287	18.47
summer_typhoon	0.013299276	17.75
summer_typhoon	0.006094494	16
summer_typhoon	0.009299989	17.925
summer_typhoon	0.014753893	16.501
summer_typhoon	0.014966435	16.57
autumn	0.004607004	13.97
autumn	0.00850738	16.638
autumn	 nan	0
autumn	0.006656284	16.26
autumn	 nan	0
autumn	 nan	0
autumn	0.003893629	12.17
autumn	0.005150788	12.56
autumn	0.00412063	14.61
autumn	0.001628822	11.64
autumn	0.01170034	21.31
autumn	0.005731267	15.36
autumn	0.007674501	14.34
autumn	0.003175159	12.02
autumn	0.011572226	21.66
autumn	0.005124969	15.68
autumn	0.00435321	13.54
autumn	0.013156012	19.63
autumn	0.00356857	14.2
autumn	0.006094494	16.91
autumn	0.002753212	13.75
autumn	0.008921426	17.77
autumn	0.003642157	15.92
autumn	0.005595187	14.59
autumn_typhoon	0.015395025	16.746
autumn_typhoon	0.009336595	15.87
autumn_typhoon	0.008432203	17.42
autumn_typhoon	0.010352955	18.1
winter	0.00530306	14.01
winter	0.003371982	10.12
winter	0.009127219	14.9
winter	0.00649898	7.172
winter	0.023415792	14.62
winter	0.009854037	11.44
winter	0.000728431	8.58
winter	0.005352855	9.04
winter	0.006515288	10.63
winter	0.002185294	7.84
winter	0.00814411	13.74
winter	0.003416646	11.29
winter	0.005595187	9.03
winter	0.006715805	12.21
winter	0.005271999	12.9
winter	0.007947838	10.76
winter	0.007708993	11.17
winter	0.005150788	9.93
winter	0.005020367	11.9
winter	0.009645873	9.87
winter	0.014306108	14.98
winter	0.008771475	13.17
winter	0.003554381	9.65
