season	mixing_depth	water_surface_temperature
spring	0.277106614	16
spring	0.115986164	18.869
spring	0.040141468	15.26
spring	0.175310581	17.725
spring	0.043756244	16.878
spring	0.17609127	11.335
spring	0.320699708	9.188
spring	0.219356261	9.345
spring	0.051155783	10.515
spring	0.043817362	10.737
spring	0.043422115	12.304
spring	0.066155393	11.89
spring	0.049364447	12.373
spring	0.043491201	12.721
spring	0.035895118	13.202
spring	0.018542569	16.488
spring	0.02287138	18.324
spring	0.27982327	12.78
spring	0.175344809	18.33
spring	0.198809524	18.62
spring	0.329949239	13.6
spring	0.227272727	14.38
spring	0.23538961	21.84
spring	0.256278539	15.13
spring	0.578125	11.72
spring	0.202702703	19
spring	 nan	7.72
spring	0.27945269	15.34
spring	0.324439369	13.54
spring	0.169361047	13.56
spring	0.184087644	11.59
spring	0.093771234	20.71
spring	0.123807339	16.31
spring	0.088347776	18.68
summer	0.124248729	18.42
summer	0.042310695	23.63
summer	0.149267399	19.68
summer	0.269758278	20.85
summer	0.0892317	20.11
summer	0.136988763	19.779
summer	0.037486651	23.795
summer	0.11964887	19.7
summer	0.238997114	19.05
summer	0.238712065	21.91
summer	0.062003968	21.68
summer	0.130009064	20.549
summer	0.116900616	22.672
summer	0.05452831	19.277
summer	0.092365416	16.004
summer	0.06881435	23.633
summer	0.096351283	21.1
summer	0.074224688	17.62
summer	 nan	0
summer	0.072375541	18.938
summer	0.072854557	21.431
summer	0.094780534	20.143
summer	 nan	0
summer	 nan	0
summer	0.021933837	17.504
summer	0.018022875	20.818
summer	0.026336183	18.631
summer	0.040523256	22.31
summer	0.047906137	22.16
summer	0.016706686	23.198
summer	0.020711995	21.726
summer	0.139944276	16.6
summer	0.055820106	15.828
summer	0.036536235	16.683
summer	0.029286655	19.2
summer	0.050076336	19.1
summer	0.075421941	19.73
summer	0.125641026	20.54
summer	0.086004899	23.41
summer	0.098529412	21.31
summer	0.090346535	20.02
summer	0.113432271	21.57
summer	0.03071025	22.04
summer	0.150406504	19.68
summer	0.144993895	21.27
summer	0.063332368	23.87
summer	0.088561385	22.05
summer	0.266708246	18.26
summer	0.056772159	21.9
summer	0.086441336	18.29
summer	0.068359375	17.74
summer	0.059872647	17.38
summer	0.066343859	22.63
summer	0.039878398	19.59
summer	0.041092287	22.4
summer	0.059644265	22.05
summer_typhoon	0.084228968	18.47
summer_typhoon	0.045238095	17.75
summer_typhoon	0.391156463	16
summer_typhoon	0.148699971	17.925
summer_typhoon	0.037646614	16.501
summer_typhoon	0.037724599	16.57
autumn	 nan	13.97
autumn	0.163794934	16.638
autumn	 nan	0
autumn	0.316509837	16.26
autumn	 nan	0
autumn	 nan	0
autumn	 nan	12.17
autumn	0.497512438	12.56
autumn	 nan	14.61
autumn	 nan	11.64
autumn	0.095953867	21.31
autumn	0.228548516	15.36
autumn	0.325790907	14.34
autumn	 nan	12.02
autumn	0.056424931	21.66
autumn	0.369209335	15.68
autumn	 nan	13.54
autumn	0.043434758	19.63
autumn	 nan	14.2
autumn	0.245614035	16.91
autumn	 nan	13.75
autumn	0.104983203	17.77
autumn	 nan	15.92
autumn	 nan	14.59
autumn_typhoon	0.031987431	16.746
autumn_typhoon	0.162352941	15.87
autumn_typhoon	0.177889622	17.42
autumn_typhoon	0.106082037	18.1
winter	0.353892821	14.01
winter	 nan	10.12
winter	0.296984115	14.9
winter	 nan	7.172
winter	0.020087977	14.62
winter	0.110469449	11.44
winter	 nan	8.58
winter	 nan	9.04
winter	0.275761974	10.63
winter	 nan	7.84
winter	0.133547009	13.74
winter	 nan	11.29
winter	 nan	9.03
winter	0.451086957	12.21
winter	0.321681864	12.9
winter	0.377207063	10.76
winter	0.265003262	11.17
winter	 nan	9.93
winter	0.389777104	11.9
winter	0.255787127	9.87
winter	0.036091411	14.98
winter	0.295019157	13.17
winter	 nan	9.65
