season	river_DIC	hypolimnion_DIC
spring	nan	5.10025
spring	nan	7.3955
spring	3.549351852	4.75775
spring	2.5625	5.53325
spring	2.55075	7.51725
spring	3.164375	3.4519
spring	3.002316667	3.3626
spring	nan	3.184675
spring	nan	3.28235
spring	nan	3.024325
spring	nan	8.02115
spring	6.306483333	7.884275
spring	nan	7.915975
spring	nan	4.028675
spring	3.216333333	4.07675
spring	2.4809	3.6709
spring	2.614866667	4.408725
spring	3.1504	3.380366667
spring	3.4104	5.2686
spring	3.7987	6.026875
spring	2.491766667	4.603266667
spring	3.6326	5.079083333
spring	2.84975	4.661575
spring	2.160133333	2.246466667
spring	3.118	3.863033333
spring	3.338883333	4.26815
spring	2.19	1.91
spring	nan	2.605
spring	nan	3.347
spring	nan	2.42
spring	nan	1.56
spring	nan	2.88
spring	nan	3.25
spring	nan	5.06
summer	nan	10.70625
summer	nan	11.38925
summer	nan	12.95125
summer	nan	14.7195
summer	nan	12.54775
summer	nan	11.405
summer	nan	8.18075
summer	nan	10.492
summer	nan	11.376
summer	nan	13.1125
summer	nan	10.27525
summer	nan	5.867
summer	nan	7.1745
summer	nan	7.5045
summer	2.25875	9.4925
summer	2.55825	10.907
summer	2.68375	10.56825
summer	1.931	4.7505
summer	1.9145	7.804
summer	2.15775	9.37725
summer	2.307	9.7765
summer	2.46075	9.403
summer	nan	7.39775
summer	2.268166667	5.844333333
summer	3.215216667	6.383775
summer	nan	6.38725
summer	nan	4.472875
summer	1.980716667	2.553616667
summer	2.138883333	7.78095
summer	2.814216667	8.412725
summer	3.180716667	8.3661
summer	5.482933333	7.22345
summer	2.1265	2.953
summer	1.459666667	2.0253
summer	2.467333333	3.67025
summer	2.858183333	6.510675
summer	1.876433333	4.579
summer	2.16014	3.89952
summer	2.432566667	8.069866667
summer	2.324316667	4.786366667
summer	2.107433333	3.200166667
summer	8.4133	6.0199
summer	1.27	6.25
summer	2.94	11.42
summer	3.62	3.69
summer	nan	5.966
summer	nan	5.923
summer	nan	3.4
summer	nan	12.5
summer	nan	9.83
summer	nan	3.9
summer	nan	1.63
summer	nan	7.72
summer	nan	6.11
summer	nan	6.42
summer	nan	4.25
summer_typhoon	nan	3.668
summer_typhoon	nan	3.2495
summer_typhoon	nan	4.74775
summer_typhoon	nan	2.19625
summer_typhoon	1.403633333	2.05855
summer_typhoon	1.50165	1.93805
autumn	nan	3.4865
autumn	nan	4.44325
autumn	nan	4.7245
autumn	3.9265	6.0585
autumn	2.126133333	2.7647
autumn	2.043633333	2.8012
autumn	2.675766667	2.98585
autumn	2.1682	2.98585
autumn	1.770733333	3.256225
autumn	1.362683333	1.80035
autumn	2.7591	5.9366
autumn	3.076783333	3.22685
autumn	3.10795	3.59885
autumn	4.12	4.42
autumn	nan	6.028
autumn	nan	3.831
autumn	nan	2.856
autumn	nan	10.32
autumn	nan	1.47
autumn	nan	7.64
autumn	nan	1.94
autumn	nan	10.9
autumn	nan	3.98
autumn	nan	1.5
autumn_typhoon	1.775666667	2.2495
autumn_typhoon	0.8587	1.4216
autumn_typhoon	1.1998	2.661625
autumn_typhoon	2.99	3.82
winter	nan	3.52975
winter	nan	3.41525
winter	nan	3.88575
winter	nan	4.104
winter	3.5755	4.25775
winter	3.589166667	2.55415
winter	2.701166667	3.0854
winter	2.836266667	2.871633333
winter	2.75865	3.3034
winter	2.4802	2.65455
winter	1.878866667	4.220175
winter	2.4054	2.785516667
winter	2.132483333	2.2648
winter	2.622516667	3.152483333
winter	2.51	2.76
winter	2.55	2.75
winter	nan	1.513
winter	nan	2.744
winter	nan	2.91
winter	nan	1.42
winter	nan	2.08
winter	nan	2.58
winter	nan	3.24
