season	depth	DIC
autumn	0.04	2.53425
autumn	0.04	2.244
autumn	0.04	3.3335
autumn	0.04	4.467875
autumn	0.04	1.9206
autumn	0.04	2.216683333
autumn	0.04	2.7451
autumn	0.04	2.7451
autumn	0.04	1.8076
autumn	0.04	1.53945
autumn	0.04	2.9033
autumn	0.04	1.955666667
autumn	0.04	3.2688
autumn	0.04	4.42
autumn	0.04	1.615
autumn	0.04	1.202
autumn	0.04	2.314
autumn	0.04	7.06
autumn	0.04	0.28
autumn	0.04	1.52
autumn	0.04	1.94
autumn	0.04	1.73
autumn	0.04	1.79
autumn	0.04	1.4
autumn_typhoon	0.04	2.2495
autumn_typhoon	0.04	1.122033333
autumn_typhoon	0.04	1.75215
autumn_typhoon	0.04	2.58
spring	0.04	3.1375
spring	0.04	2.972
spring	0.04	3.25225
spring	0.04	2.6565
spring	0.04	2.49625
spring	0.04	3.3423
spring	0.04	2.975316667
spring	0.04	3.1832
spring	0.04	3.058375
spring	0.04	2.584325
spring	0.04	6.381075
spring	0.04	6.410833333
spring	0.04	6.4345
spring	0.04	3.210375
spring	0.04	3.2853
spring	0.04	2.457066667
spring	0.04	2.676466667
spring	0.04	3.380366667
spring	0.04	3.8225
spring	0.04	3.760783333
spring	0.04	2.428176667
spring	0.04	3.1162
spring	0.04	2.792201667
spring	0.04	2.246466667
spring	0.04	3.209933333
spring	0.04	3.395883333
spring	0.04	1.91
spring	0.04	2.489
spring	0.04	2.441
spring	0.04	2.42
spring	0.04	1.56
spring	0.04	2.47
spring	0.04	2.58
spring	0.04	1.38
summer	0.04	2.9845
summer	0.04	3.206
summer	0.04	3.7195
summer	0.04	3.38175
summer	0.04	3.2305
summer	0.04	3.121
summer	0.04	2.659
summer	0.04	3.29225
summer	0.04	3.97175
summer	0.04	3.797
summer	0.04	3.539
summer	0.04	4.029
summer	0.04	4.79225
summer	0.04	4.5045
summer	0.04	2.022
summer	0.04	2.7555
summer	0.04	2.69525
summer	0.04	2.239
summer	0.04	2.226
summer	0.04	2.2205
summer	0.04	2.5045
summer	0.04	2.08025
summer	0.04	2.5635
summer	0.04	2.338833333
summer	0.04	2.0955
summer	0.04	2.21235
summer	0.04	2.447916667
summer	0.04	2.553616667
summer	0.04	2.20845
summer	0.04	2.823933333
summer	0.04	3.300766667
summer	0.04	5.931033333
summer	0.04	2.1537
summer	0.04	1.3045
summer	0.04	2.3266
summer	0.04	4.901
summer	0.04	2.0488
summer	0.04	2.30815
summer	0.04	2.464333333
summer	0.04	2.41295
summer	0.04	2.252233333
summer	0.04	2.3425
summer	0.04	3.6
summer	0.04	3.34
summer	0.04	3.65
summer	0.04	1.471
summer	0.04	2.5
summer	0.04	2.92
summer	0.04	1.08
summer	0.04	6.72
summer	0.04	1.09
summer	0.04	1.35
summer	0.04	1.9
summer	0.04	1.23
summer	0.04	1.58
summer	0.04	1.89
summer_typhoon	0.04	2.34325
summer_typhoon	0.04	3.2495
summer_typhoon	0.04	4.2075
summer_typhoon	0.04	1.171
summer_typhoon	0.04	1.336166667
summer_typhoon	0.04	1.573033333
winter	0.04	2.87775
winter	0.04	3.30325
winter	0.04	3.72225
winter	0.04	4.091
winter	0.04	4.127
winter	0.04	2.438216667
winter	0.04	2.9383
winter	0.04	2.871633333
winter	0.04	1.463183333
winter	0.04	2.65455
winter	0.04	2.596683333
winter	0.04	2.302483333
winter	0.04	2.098383333
winter	0.04	2.574166667
winter	0.04	2.72
winter	0.04	2.75
winter	0.04	1.501
winter	0.04	1.965
winter	0.04	2.65
winter	0.04	1.42
winter	0.04	2.08
winter	0.04	2.58
winter	0.04	2
autumn	0.5	2.595
autumn	0.5	2.307
autumn	0.5	3.20675
autumn	0.5	4.454
autumn	0.5	2.1143
autumn	0.5	2.231125
autumn	0.5	2.83055
autumn	0.5	2.83055
autumn	0.5	2.0788
autumn	0.5	1.6781
autumn	0.5	2.897833333
autumn	0.5	1.976633333
autumn	0.5	3.24665
autumn	0.5	3.74
autumn	0.5	1.541
autumn	0.5	1.203
autumn	0.5	2.243
autumn	0.5	8.08
autumn	0.5	0.36
autumn	0.5	1.92
autumn	0.5	1.78
autumn	0.5	1.31
autumn	0.5	1.67
autumn	0.5	0.81
autumn_typhoon	0.5	2.2075
autumn_typhoon	0.5	1.15325
autumn_typhoon	0.5	1.74755
autumn_typhoon	0.5	3.5
spring	0.5	3.064
spring	0.5	2.98925
spring	0.5	3.359
spring	0.5	2.6695
spring	0.5	3.38075
spring	0.5	3.335175
spring	0.5	2.989925
spring	0.5	3.079775
spring	0.5	3.016825
spring	0.5	2.654425
spring	0.5	6.375
spring	0.5	6.449325
spring	0.5	6.380525
spring	0.5	3.181
spring	0.5	3.241375
spring	0.5	2.62135
spring	0.5	2.656675
spring	0.5	3.329675
spring	0.5	3.7209
spring	0.5	3.95885
spring	0.5	2.568183333
spring	0.5	3.197666667
spring	0.5	3.005541667
spring	0.5	2.218216667
spring	0.5	3.25265
spring	0.5	3.377666667
spring	0.5	1.88
spring	0.5	2.443
spring	0.5	2.37
spring	0.5	2.1
spring	0.5	1.22
spring	0.5	2.33
spring	0.5	2.43
spring	0.5	1.51
summer	0.5	3.953
summer	0.5	3.64175
summer	0.5	3.6905
summer	0.5	3.52125
summer	0.5	3.3665
summer	0.5	3.243
summer	0.5	3.67625
summer	0.5	3.7765
summer	0.5	6.116
summer	0.5	3.8845
summer	0.5	3.99975
summer	0.5	4.018
summer	0.5	4.95725
summer	0.5	6.21975
summer	0.5	2
summer	0.5	3.64325
summer	0.5	2.8625
summer	0.5	2.246
summer	0.5	2.1335
summer	0.5	2.0545
summer	0.5	2.6395
summer	0.5	2.63025
summer	0.5	2.53325
summer	0.5	2.377
summer	0.5	2.839825
summer	0.5	2.172475
summer	0.5	2.39265
summer	0.5	1.86345
summer	0.5	2.683575
summer	0.5	2.858025
summer	0.5	3.33215
summer	0.5	5.7765
summer	0.5	1.0517
summer	0.5	0.55995
