season	depth	delta_DIC
spring	0	-0.475101216
spring	0.5	-0.371688161
spring	1	-0.236601355
spring	2	-0.351380522
spring	3.5	0.830995172
summer	0	-0.444794107
summer	0.5	-0.525154615
summer	1	-0.433411861
summer	2	-0.357888165
summer	3.5	3.822823791
summer_typhoon	0	0.143527154
summer_typhoon	0.5	0.34480771
summer_typhoon	1	0.208366043
summer_typhoon	2	0.171874376
summer_typhoon	3.5	0.694949376
autumn	0	0.945562914
autumn	0.5	0.937646247
autumn	1	1.147770322
autumn	2	1.182672173
autumn	3.5	1.862767544
autumn_typhoon	0	0.420608866
autumn_typhoon	0.5	0.723681089
autumn_typhoon	1	0.640897755
autumn_typhoon	2	0.182531089
autumn_typhoon	3.5	0.769797755
winter	0	0.018209484
winter	0.5	0.021133727
winter	1	0.037345091
winter	2	0.164213272
winter	3.5	0.322983727
