season	depth	water_temperature
spring	0.04	16
spring	0.04	18.869
spring	0.04	15.26
spring	0.04	17.725
spring	0.04	16.878
spring	0.04	11.335
spring	0.04	9.188
spring	0.04	9.345
spring	0.04	10.515
spring	0.04	10.737
spring	0.04	12.304
spring	0.04	11.89
spring	0.04	12.373
spring	0.04	12.721
spring	0.04	13.202
spring	0.04	16.488
spring	0.04	18.324
spring	0.04	12.78
spring	0.04	18.33
spring	0.04	18.62
spring	0.04	13.6
spring	0.04	14.38
spring	0.04	21.84
spring	0.04	15.13
spring	0.04	11.72
spring	0.04	19
spring	0.04	7.72
spring	0.04	15.34
spring	0.04	13.54
spring	0.04	13.56
spring	0.04	11.59
spring	0.04	20.71
spring	0.04	16.31
spring	0.04	18.68
spring	0.25	15.9
spring	0.25	18.789
spring	0.25	13.7
spring	0.25	17.698
spring	0.25	15.558
spring	0.25	11.325
spring	0.25	9.169
spring	0.25	9.066
spring	0.25	9.314
spring	0.25	9.279
spring	0.25	10.829
spring	0.25	11.014
spring	0.25	11.118
spring	0.25	11.249
spring	0.25	11.306
spring	0.25	10.944
spring	0.25	14.578
spring	0.25	12.67
spring	0.25	18.3
spring	0.25	18.21
spring	0.25	13.62
spring	0.25	14.28
spring	0.25	21.78
spring	0.25	14.89
spring	0.25	11.68
spring	0.25	19.01
spring	0.25	7.234
spring	0.25	15.18
spring	0.25	13.47
spring	0.25	13.42
spring	0.25	11.4
spring	0.25	20.53
spring	0.25	16.05
spring	0.25	18.23
spring	0.5	15.8
spring	0.5	18.049
spring	0.5	13.49
spring	0.5	17.513
spring	0.5	14.098
spring	0.5	10.634
spring	0.5	8.495
spring	0.5	8.436
spring	0.5	8.63
spring	0.5	8.584
spring	0.5	9.759
spring	0.5	9.901
spring	0.5	10.01
spring	0.5	10.132
spring	0.5	10.224
spring	0.5	10.064
spring	0.5	13.272
spring	0.5	12.21
spring	0.5	18.26
spring	0.5	18.09
spring	0.5	13.63
spring	0.5	14.02
spring	0.5	21.68
spring	0.5	14.76
spring	0.5	11.61
spring	0.5	18.6
spring	0.5	7.278
spring	0.5	15.19
spring	0.5	13.5
spring	0.5	13.4
spring	0.5	10.93
spring	0.5	19.28
spring	0.5	15.56
spring	0.5	17.32
spring	0.75	nan
spring	0.75	nan
spring	0.75	13.25
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	21.34
spring	0.75	14.6
spring	0.75	11.6
spring	0.75	18.12
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	0.75	nan
spring	1	15.66
spring	1	15.761
spring	1	13.12
spring	1	15.466
spring	1	13.038
spring	1	10.01
spring	1	8.29
spring	1	8.328
spring	1	nan
spring	1	8.417
spring	1	9.147
spring	1	9.203
spring	1	9.343
spring	1	9.427
spring	1	9.497
spring	1	9.605
spring	1	11.517
spring	1	11.93
spring	1	15.91
spring	1	16.89
spring	1	13.6
spring	1	13.14
spring	1	20.54
spring	1	14.24
spring	1	11.53
spring	1	17.38
spring	1	7.307
spring	1	15.24
spring	1	13.32
spring	1	11.6
spring	1	10.45
spring	1	15.96
spring	1	13.22
spring	1	13.92
spring	1.5	nan
spring	1.5	nan
