season	water_surface_temperature	hypolimnion_DIC
spring	16	5.10025
spring	18.869	7.3955
spring	15.26	4.75775
spring	17.725	5.53325
spring	16.878	7.51725
spring	11.335	3.4519
spring	9.188	3.3626
spring	9.345	3.184675
spring	10.515	3.28235
spring	10.737	3.024325
spring	12.304	8.02115
spring	11.89	7.884275
spring	12.373	7.915975
spring	12.721	4.028675
spring	13.202	4.07675
spring	16.488	3.6709
spring	18.324	4.408725
spring	12.78	3.380366667
spring	18.33	5.2686
spring	18.62	6.026875
spring	13.6	4.603266667
spring	14.38	5.079083333
spring	21.84	4.661575
spring	15.13	2.246466667
spring	11.72	3.863033333
spring	19	4.26815
spring	7.72	1.91
spring	15.34	2.605
spring	13.54	3.347
spring	13.56	2.42
spring	11.59	1.56
spring	20.71	2.88
spring	16.31	3.25
spring	18.68	5.06
summer	18.42	10.70625
summer	23.63	11.38925
summer	19.68	12.95125
summer	20.85	14.7195
summer	20.11	12.54775
summer	19.779	11.405
summer	23.795	8.18075
summer	19.7	10.492
summer	19.05	11.376
summer	21.91	13.1125
summer	21.68	10.27525
summer	20.549	5.867
summer	22.672	7.1745
summer	19.277	7.5045
summer	16.004	9.4925
summer	23.633	10.907
summer	21.1	10.56825
summer	17.62	4.7505
summer	0	7.804
summer	18.938	9.37725
summer	21.431	9.7765
summer	20.143	9.403
summer	0	7.39775
summer	0	5.844333333
summer	17.504	6.383775
summer	20.818	6.38725
summer	18.631	4.472875
summer	22.31	2.553616667
summer	22.16	7.78095
summer	23.198	8.412725
summer	21.726	8.3661
summer	16.6	7.22345
summer	15.828	2.953
summer	16.683	2.0253
summer	19.2	3.67025
summer	19.1	6.510675
summer	19.73	4.579
summer	20.54	3.89952
summer	23.41	8.069866667
summer	21.31	4.786366667
summer	20.02	3.200166667
summer	21.57	6.0199
summer	22.04	6.25
summer	19.68	11.42
summer	21.27	3.69
summer	23.87	5.966
summer	22.05	5.923
summer	18.26	3.4
summer	21.9	12.5
summer	18.29	9.83
summer	17.74	3.9
summer	17.38	1.63
summer	22.63	7.72
summer	19.59	6.11
summer	22.4	6.42
summer	22.05	4.25
summer_typhoon	18.47	3.668
summer_typhoon	17.75	3.2495
summer_typhoon	16	4.74775
summer_typhoon	17.925	2.19625
summer_typhoon	16.501	2.05855
summer_typhoon	16.57	1.93805
autumn	13.97	3.4865
autumn	16.638	4.44325
autumn	0	4.7245
autumn	16.26	6.0585
autumn	0	2.7647
autumn	0	2.8012
autumn	12.17	2.98585
autumn	12.56	2.98585
autumn	14.61	3.256225
autumn	11.64	1.80035
autumn	21.31	5.9366
autumn	15.36	3.22685
autumn	14.34	3.59885
autumn	12.02	4.42
autumn	21.66	6.028
autumn	15.68	3.831
autumn	13.54	2.856
autumn	19.63	10.32
autumn	14.2	1.47
autumn	16.91	7.64
autumn	13.75	1.94
autumn	17.77	10.9
autumn	15.92	3.98
autumn	14.59	1.5
autumn_typhoon	16.746	2.2495
autumn_typhoon	15.87	1.4216
autumn_typhoon	17.42	2.661625
autumn_typhoon	18.1	3.82
winter	14.01	3.52975
winter	10.12	3.41525
winter	14.9	3.88575
winter	7.172	4.104
winter	14.62	4.25775
winter	11.44	2.55415
winter	8.58	3.0854
winter	9.04	2.871633333
winter	10.63	3.3034
winter	7.84	2.65455
winter	13.74	4.220175
winter	11.29	2.785516667
winter	9.03	2.2648
winter	12.21	3.152483333
winter	12.9	2.76
winter	10.76	2.75
winter	11.17	1.513
winter	9.93	2.744
winter	11.9	2.91
winter	9.87	1.42
winter	14.98	2.08
winter	13.17	2.58
winter	9.65	3.24
