season	water_surface_temperature	water_surface_DIC
spring	16	3.1375
spring	18.869	2.972
spring	15.26	3.25225
spring	17.725	2.6565
spring	16.878	2.49625
spring	11.335	3.3423
spring	9.188	2.975316667
spring	9.345	3.1832
spring	10.515	3.058375
spring	10.737	2.584325
spring	12.304	6.381075
spring	11.89	6.410833333
spring	12.373	6.4345
spring	12.721	3.210375
spring	13.202	3.2853
spring	16.488	2.457066667
spring	18.324	2.676466667
spring	12.78	3.380366667
spring	18.33	3.8225
spring	18.62	3.760783333
spring	13.6	2.428176667
spring	14.38	3.1162
spring	21.84	2.792201667
spring	15.13	2.246466667
spring	11.72	3.209933333
spring	19	3.395883333
spring	7.72	1.91
spring	15.34	2.489
spring	13.54	2.441
spring	13.56	2.42
spring	11.59	1.56
spring	20.71	2.47
spring	16.31	2.58
spring	18.68	1.38
summer	18.42	2.9845
summer	23.63	3.206
summer	19.68	3.7195
summer	20.85	3.38175
summer	20.11	3.2305
summer	19.779	3.121
summer	23.795	2.659
summer	19.7	3.29225
summer	19.05	3.97175
summer	21.91	3.797
summer	21.68	3.539
summer	20.549	4.029
summer	22.672	4.79225
summer	19.277	4.5045
summer	16.004	2.022
summer	23.633	2.7555
summer	21.1	2.69525
summer	17.62	2.239
summer	0	2.226
summer	18.938	2.2205
summer	21.431	2.5045
summer	20.143	2.08025
summer	0	2.5635
summer	0	2.338833333
summer	17.504	2.0955
summer	20.818	2.21235
summer	18.631	2.447916667
summer	22.31	2.553616667
summer	22.16	2.20845
summer	23.198	2.823933333
summer	21.726	3.300766667
summer	16.6	5.931033333
summer	15.828	2.1537
summer	16.683	1.3045
summer	19.2	2.3266
summer	19.1	4.901
summer	19.73	2.0488
summer	20.54	2.30815
summer	23.41	2.464333333
summer	21.31	2.41295
summer	20.02	2.252233333
summer	21.57	2.3425
summer	22.04	3.6
summer	19.68	3.34
summer	21.27	3.65
summer	23.87	1.471
summer	22.05	2.5
summer	18.26	2.92
summer	21.9	1.08
summer	18.29	6.72
summer	17.74	1.09
summer	17.38	1.35
summer	22.63	1.9
summer	19.59	1.23
summer	22.4	1.58
summer	22.05	1.89
summer_typhoon	18.47	2.34325
summer_typhoon	17.75	3.2495
summer_typhoon	16	4.2075
summer_typhoon	17.925	1.171
summer_typhoon	16.501	1.336166667
summer_typhoon	16.57	1.573033333
autumn	13.97	2.53425
autumn	16.638	2.244
autumn	0	3.3335
autumn	16.26	4.467875
autumn	0	1.9206
autumn	0	2.216683333
autumn	12.17	2.7451
autumn	12.56	2.7451
autumn	14.61	1.8076
autumn	11.64	1.53945
autumn	21.31	2.9033
autumn	15.36	1.955666667
autumn	14.34	3.2688
autumn	12.02	4.42
autumn	21.66	1.615
autumn	15.68	1.202
autumn	13.54	2.314
autumn	19.63	7.06
autumn	14.2	0.28
autumn	16.91	1.52
autumn	13.75	1.94
autumn	17.77	1.73
autumn	15.92	1.79
autumn	14.59	1.4
autumn_typhoon	16.746	2.2495
autumn_typhoon	15.87	1.122033333
autumn_typhoon	17.42	1.75215
autumn_typhoon	18.1	2.58
winter	14.01	2.87775
winter	10.12	3.30325
winter	14.9	3.72225
winter	7.172	4.091
winter	14.62	4.127
winter	11.44	2.438216667
winter	8.58	2.9383
winter	9.04	2.871633333
winter	10.63	1.463183333
winter	7.84	2.65455
winter	13.74	2.596683333
winter	11.29	2.302483333
winter	9.03	2.098383333
winter	12.21	2.574166667
winter	12.9	2.72
winter	10.76	2.75
winter	11.17	1.501
winter	9.93	1.965
winter	11.9	2.65
winter	9.87	1.42
winter	14.98	2.08
winter	13.17	2.58
winter	9.65	2
